,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1194,bundesliga_2,2022,2022-08-21,FC Heidenheim,Arminia Bielefeld,1,1,1,0,D
1195,bundesliga_2,2022,2022-08-21,Hansa Rostock,FC St. Pauli,2,0,2,0,H
1196,bundesliga_2,2022,2022-08-26,Fortuna Dusseldorf,Jahn Regensburg,4,0,0,4,H
1197,bundesliga_2,2022,2022-08-26,Arminia Bielefeld,Eintracht Braunschweig,4,1,3,1,H
1198,bundesliga_2,2022,2022-08-27,SV Darmstadt 98,FC Heidenheim,2,2,1,1,D
1199,bundesliga_2,2022,2022-08-27,FC St. Pauli,SC Paderborn 07,2,2,0,2,D
1200,bundesliga_2,2022,2022-08-27,Karlsruher SC,Hansa Rostock,2,0,2,0,H
1201,bundesliga_2,2022,2022-08-27,FC Nurnberg,Hamburger SV,0,2,0,0,A
1202,bundesliga_2,2022,2022-08-28,Hannover 96,SpVgg Greuther Furth,2,1,0,2,H
1203,bundesliga_2,2022,2022-08-28,Holstein Kiel,SV Sandhausen,1,0,0,1,H
1204,bundesliga_2,2022,2022-08-28,FC Kaiserslautern,FC Magdeburg,4,4,2,2,D
1205,bundesliga_2,2022,2022-09-02,FC Heidenheim,Fortuna Dusseldorf,2,1,1,1,H
1206,bundesliga_2,2022,2022-09-02,Eintracht Braunschweig,FC Nurnberg,4,2,2,2,H
1207,bundesliga_2,2022,2022-09-03,Jahn Regensburg,Holstein Kiel,0,0,0,0,D
1208,bundesliga_2,2022,2022-09-03,SpVgg Greuther Furth,FC St. Pauli,2,2,0,2,D
1209,bundesliga_2,2022,2022-09-03,SC Paderborn 07,FC Magdeburg,1,0,0,1,H
1210,bundesliga_2,2022,2022-09-03,Hamburger SV,Karlsruher SC,1,0,1,0,H
1211,bundesliga_2,2022,2022-09-04,SV Darmstadt 98,Arminia Bielefeld,1,1,1,0,D
1212,bundesliga_2,2022,2022-09-04,SV Sandhausen,FC Kaiserslautern,0,0,0,0,D
1213,bundesliga_2,2022,2022-09-04,Hansa Rostock,Hannover 96,0,1,0,0,A
1214,bundesliga_2,2022,2022-09-09,FC Nurnberg,Arminia Bielefeld,1,0,0,1,H
1215,bundesliga_2,2022,2022-09-09,Holstein Kiel,Hamburger SV,2,3,0,2,A
1216,bundesliga_2,2022,2022-09-10,Hannover 96,Eintracht Braunschweig,1,1,0,1,D
1217,bundesliga_2,2022,2022-09-10,SC Paderborn 07,Jahn Regensburg,3,0,1,2,H
